,total_cells,total_genes,n_ct,ct_less_cells,ct_more_cells,highest_expressed,readsxcell
56c4912d-2bae-4b64-98f2-af8a84389208,11756.0,214.0,7.0,0.000935692412385165,0.8683225586934331,68.83829533855052,520.8359986389928
2872f4b0-b171-46e2-abc6-befcf6de6306,18231.0,148.0,19.0,0.0009324776479622621,0.2755745707860238,2448.310131095387,5720.897537161977
1a38e762-2465-418f-b81c-6a4bce261c34,12758.0,246.0,6.0,0.011443799968647124,0.6022887599937294,187.7430631760464,910.2867220567487
3294d050-6eeb-4a00-b24c-71aacc9b777f,8150.0,181.0,4.0,0.0013496932515337423,0.48184049079754604,4498.806134969325,7835.861226993865
d567b692-c374-4628-a508-8008f6778f22,15684.0,237.0,9.0,0.0022953328232593728,0.5063759245090538,47.18834480999745,295.98367763325683
f512b8b6-369d-4a85-a695-116e0806857f,11291.0,237.0,8.0,0.0025684173235320166,0.5483128155167832,276.16437870870607,1919.283765831193
c3fe3c1e-5bf8-4678-b74a-79899243ad41,9833.0,211.0,9.0,0.0011186819892199736,0.45398149089799655,208.30255262890267,1553.542459066409
9ddea8d9-cc4c-420a-90f6-880996f808d4,18420.0,219.0,10.0,0.012975027144408251,0.5272529858849077,139.92817589576546,1573.3399565689467
6c600df6-ddca-4628-a8bb-1d6de1e3f9b4,2518.0,244.0,7.0,0.014297061159650517,0.29348689436060366,61.86219221604448,307.39992057188243
d5c67a4e-a8d9-456d-a273-fa01adb1b308,1794.0,214.0,7.0,0.023968784838350056,0.5863991081382386,269.97435897435895,961.5211817168339
2672b679-8048-4f5e-9786-f1b196ccfd08,13563.0,197.0,20.0,0.0008110300081103001,0.2852613728526137,412.2976480129765,1679.559905625599
576f193c-75d0-4a11-bd25-8676587e6dc2,11294.0,198.0,6.0,0.0021250221356472463,0.9810518859571454,188.75447140074377,1332.7576589339471
dfdf1ae2-d624-4004-9353-f18b902f6bca,10071.0,201.0,7.0,0.027604011518220634,0.5369873895343065,193.8217654651971,1723.8528448019065
